epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,10211.3,0.41504,0.33009,0.89159,0.42736,0.68585,0.50388,0.47872,0.44589,0.6618,0.96624,0.00232069,0.000773563,0.00232069,0.000773563,0.00232069,0.000773563,0.00232069,0.000773563
79,10331.4,0.41839,0.36222,0.91973,0.43865,0.68276,0.51496,0.48901,0.44693,0.67119,0.95924,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375
80,10460.6,0.41677,0.326,0.89796,0.43521,0.68585,0.51266,0.48204,0.45743,0.75225,0.94998,0.00228356,0.000761188,0.00228356,0.000761188,0.00228356,0.000761188,0.00228356,0.000761188
81,10578.4,0.39304,0.33054,0.89867,0.43323,0.68144,0.52999,0.50059,0.46499,0.70358,0.97659,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
82,10707.7,0.43105,0.36016,0.91341,0.44096,0.6857,0.53546,0.50024,0.4484,0.67767,0.95229,0.00224644,0.000748813,0.00224644,0.000748813,0.00224644,0.000748813,0.00224644,0.000748813
83,10829.5,0.39967,0.32409,0.89951,0.44041,0.68116,0.53375,0.49853,0.44792,0.73894,0.94822,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625
84,10959,0.4028,0.32198,0.90197,0.43932,0.68144,0.53021,0.49894,0.45062,0.73522,0.95536,0.00220931,0.000736438,0.00220931,0.000736438,0.00220931,0.000736438,0.00220931,0.000736438
85,11079.1,0.41407,0.32177,0.90663,0.43785,0.68393,0.51248,0.48544,0.44618,0.76346,0.9567,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
86,11211.3,0.41267,0.29916,0.89239,0.45293,0.67676,0.53177,0.50029,0.45032,0.78313,0.94999,0.00217219,0.000724062,0.00217219,0.000724062,0.00217219,0.000724062,0.00217219,0.000724062
87,11332.4,0.46551,0.34323,0.9284,0.45873,0.68581,0.52098,0.48708,0.45262,0.80242,0.94648,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875
